Member_Id,ListAs,DisplayAs,FullTitle
172,"Abbott, Diane",Ms Diane Abbott,Ms Diane Abbott MP
4212,"Abrahams, Debbie",Debbie Abrahams,Debbie Abrahams MP
662,"Abse, Leo",Leo Abse,Leo Abse
663,"Adams, Allen",Allen Adams,Allen Adams
645,"Adams, Gerry",Mr Gerry Adams,Mr Gerry Adams
4057,"Adams, Nigel",Nigel Adams,Nigel Adams MP
631,"Adams of Craigielea, B.",Baroness Adams of Craigielea,The Baroness Adams of Craigielea
665,"Adley, Robert",Robert Adley,Robert Adley
1586,"Afriyie, Adam",Adam Afriyie,Adam Afriyie MP
537,"Ainger, Nick",Nick Ainger,Nick Ainger
306,"Ainsworth, Bob",Mr Bob Ainsworth,Rt Hon Bob Ainsworth MP
99,"Ainsworth, Peter",Mr Peter Ainsworth,Mr Peter Ainsworth
735,"Aitken, Jonathan",Jonathan Aitken,Jonathan Aitken
4069,"Aldous, Peter",Peter Aldous,Peter Aldous MP
1535,"Alexander, Danny",Danny Alexander,Rt Hon Danny Alexander MP
632,"Alexander, Douglas",Mr Douglas Alexander,Rt Hon Douglas Alexander MP
4038,"Alexander, Heidi",Heidi Alexander,Heidi Alexander MP
974,"Alexander, Richard",Richard Alexander,Richard Alexander
4138,"Ali, Rushanara",Rushanara Ali,Rushanara Ali MP
736,"Alison, Michael",Michael Alison,Rt Hon Michael Alison
397,"Allan of Hallam, L.",Lord Allan of Hallam,The Lord Allan of Hallam
1611,"Allason, James",James  Allason,James  Allason
730,"Allason, Rupert",Rupert Allason,Rupert Allason
737,"Allaun, Frank",Frank Allaun,Frank Allaun
364,"Allen, Graham",Mr Graham Allen,Mr Graham Allen MP
738,"Alton of Liverpool, L.",Lord Alton of Liverpool,The Lord Alton of Liverpool
2919,"Amery of Lustleigh, L.",Lord Amery of Lustleigh,The Lord Amery of Lustleigh
44,"Amess, David",Sir David Amess,Sir David Amess MP
1212,"Amos, Alan",Mr Alan Amos,Mr Alan Amos
1486,"Anderson, David",Mr David Anderson,Mr David Anderson MP
475,"Anderson, Janet",Janet Anderson,Janet Anderson
568,"Anderson of Swansea, L.",Lord Anderson of Swansea,The Rt Hon. the Lord Anderson of Swansea
4032,"Andrew, Stuart",Stuart Andrew,Stuart Andrew MP
56,"Arbuthnot, James",Mr James Arbuthnot,Rt Hon James Arbuthnot MP
741,"Archer of Sandwell, L.",Lord Archer of Sandwell,The Rt Hon. the Lord Archer of Sandwell QC
1612,"Archer of Weston-Super-Mare, L.",Lord Archer of Weston-Super-Mare,The Lord Archer of Weston-Super-Mare
968,"Armstrong, Ernest",Ernest Armstrong,Rt Hon Ernest Armstrong
4150,"Armstrong of Hill Top, B.",Baroness Armstrong of Hill Top,The Rt Hon. the Baroness Armstrong of Hill Top
1205,"Arnold, Jacques",Mr Jacques Arnold,Mr Jacques Arnold
973,"Arnold, Thomas",Sir Thomas Arnold,Sir Thomas Arnold
742,"Ashby, David",David Ashby,David Ashby
